Index,Hogwarts House
237.0,Ravenclaw
238.0,Hufflepuff
239.0,Hufflepuff
240.0,Hufflepuff
241.0,Gryffindor
242.0,Hufflepuff
243.0,Hufflepuff
244.0,Hufflepuff
245.0,Hufflepuff
246.0,Gryffindor
247.0,Hufflepuff
248.0,Gryffindor
249.0,Ravenclaw
250.0,Ravenclaw
251.0,Slytherin
252.0,Slytherin
253.0,Gryffindor
254.0,Hufflepuff
255.0,Ravenclaw
256.0,Ravenclaw
257.0,Slytherin
258.0,Gryffindor
259.0,Ravenclaw
260.0,Slytherin
261.0,Hufflepuff
262.0,Ravenclaw
263.0,Gryffindor
264.0,Slytherin
265.0,Slytherin
266.0,Slytherin
267.0,Ravenclaw
268.0,Hufflepuff
269.0,Ravenclaw
270.0,Gryffindor
271.0,Ravenclaw
272.0,Hufflepuff
273.0,Hufflepuff
274.0,Ravenclaw
275.0,Ravenclaw
276.0,Ravenclaw
277.0,Hufflepuff
278.0,Hufflepuff
279.0,Gryffindor
280.0,Hufflepuff
281.0,Ravenclaw
282.0,Hufflepuff
283.0,Hufflepuff
284.0,Ravenclaw
285.0,Ravenclaw
286.0,Gryffindor
287.0,Hufflepuff
288.0,Hufflepuff
289.0,Gryffindor
290.0,Gryffindor
291.0,Hufflepuff
292.0,Hufflepuff
293.0,Hufflepuff
294.0,Gryffindor
295.0,Gryffindor
296.0,Hufflepuff
297.0,Gryffindor
298.0,Ravenclaw
299.0,Hufflepuff
300.0,Gryffindor
301.0,Hufflepuff
302.0,Slytherin
303.0,Hufflepuff
304.0,Hufflepuff
305.0,Gryffindor
306.0,Slytherin
307.0,Ravenclaw
308.0,Hufflepuff
309.0,Slytherin
310.0,Ravenclaw
311.0,Hufflepuff
312.0,Slytherin
313.0,Hufflepuff
314.0,Gryffindor
315.0,Gryffindor
316.0,Ravenclaw
317.0,Slytherin
318.0,Slytherin
319.0,Hufflepuff
320.0,Hufflepuff
321.0,Slytherin
322.0,Slytherin
323.0,Gryffindor
324.0,Hufflepuff
325.0,Ravenclaw
326.0,Ravenclaw
327.0,Slytherin
328.0,Gryffindor
329.0,Ravenclaw
330.0,Slytherin
331.0,Hufflepuff
332.0,Hufflepuff
333.0,Hufflepuff
334.0,Ravenclaw
335.0,Ravenclaw
336.0,Slytherin
337.0,Ravenclaw
338.0,Gryffindor
339.0,Hufflepuff
340.0,Slytherin
341.0,Slytherin
342.0,Ravenclaw
343.0,Hufflepuff
344.0,Slytherin
345.0,Ravenclaw
346.0,Slytherin
347.0,Ravenclaw
348.0,Hufflepuff
349.0,Hufflepuff
350.0,Gryffindor
351.0,Ravenclaw
352.0,Gryffindor
353.0,Gryffindor
354.0,Hufflepuff
355.0,Gryffindor
356.0,Slytherin
357.0,Hufflepuff
358.0,Ravenclaw
359.0,Gryffindor
360.0,Hufflepuff
361.0,Hufflepuff
362.0,Ravenclaw
363.0,Ravenclaw
364.0,Slytherin
365.0,Ravenclaw
366.0,Slytherin
367.0,Hufflepuff
368.0,Slytherin
369.0,Hufflepuff
370.0,Ravenclaw
371.0,Hufflepuff
372.0,Hufflepuff
373.0,Hufflepuff
374.0,Hufflepuff
375.0,Ravenclaw
376.0,Ravenclaw
377.0,Hufflepuff
378.0,Slytherin
379.0,Ravenclaw
380.0,Hufflepuff
381.0,Gryffindor
382.0,Slytherin
383.0,Hufflepuff
384.0,Gryffindor
385.0,Hufflepuff
386.0,Ravenclaw
387.0,Hufflepuff
388.0,Ravenclaw
389.0,Hufflepuff
390.0,Hufflepuff
391.0,Slytherin
392.0,Hufflepuff
393.0,Hufflepuff
394.0,Ravenclaw
395.0,Ravenclaw
396.0,Gryffindor
397.0,Slytherin
398.0,Ravenclaw
399.0,Gryffindor
400.0,Ravenclaw
401.0,Hufflepuff
402.0,Slytherin
403.0,Hufflepuff
404.0,Ravenclaw
405.0,Hufflepuff
406.0,Slytherin
407.0,Ravenclaw
408.0,Slytherin
409.0,Gryffindor
410.0,Slytherin
411.0,Gryffindor
412.0,Gryffindor
413.0,Ravenclaw
414.0,Hufflepuff
415.0,Ravenclaw
416.0,Slytherin
417.0,Hufflepuff
418.0,Slytherin
419.0,Hufflepuff
420.0,Hufflepuff
421.0,Slytherin
422.0,Hufflepuff
423.0,Hufflepuff
424.0,Slytherin
425.0,Gryffindor
426.0,Hufflepuff
427.0,Hufflepuff
428.0,Hufflepuff
429.0,Ravenclaw
430.0,Gryffindor
431.0,Ravenclaw
432.0,Hufflepuff
433.0,Gryffindor
434.0,Hufflepuff
435.0,Hufflepuff
436.0,Ravenclaw
437.0,Ravenclaw
438.0,Slytherin
439.0,Ravenclaw
440.0,Hufflepuff
441.0,Ravenclaw
442.0,Ravenclaw
443.0,Gryffindor
444.0,Ravenclaw
445.0,Hufflepuff
446.0,Hufflepuff
447.0,Gryffindor
448.0,Ravenclaw
449.0,Gryffindor
450.0,Hufflepuff
451.0,Hufflepuff
452.0,Slytherin
453.0,Hufflepuff
454.0,Slytherin
455.0,Slytherin
456.0,Ravenclaw
457.0,Ravenclaw
458.0,Hufflepuff
459.0,Gryffindor
460.0,Hufflepuff
461.0,Gryffindor
462.0,Ravenclaw
463.0,Ravenclaw
464.0,Hufflepuff
465.0,Gryffindor
466.0,Gryffindor
467.0,Hufflepuff
468.0,Slytherin
469.0,Gryffindor
470.0,Ravenclaw
471.0,Gryffindor
472.0,Hufflepuff
473.0,Hufflepuff
474.0,Hufflepuff
475.0,Ravenclaw
476.0,Hufflepuff
477.0,Hufflepuff
478.0,Gryffindor
479.0,Ravenclaw
480.0,Hufflepuff
481.0,Hufflepuff
482.0,Gryffindor
483.0,Slytherin
484.0,Hufflepuff
485.0,Hufflepuff
486.0,Ravenclaw
487.0,Gryffindor
488.0,Hufflepuff
489.0,Hufflepuff
490.0,Gryffindor
491.0,Hufflepuff
492.0,Slytherin
493.0,Slytherin
494.0,Hufflepuff
495.0,Hufflepuff
496.0,Slytherin
497.0,Gryffindor
498.0,Ravenclaw
499.0,Ravenclaw
500.0,Gryffindor
501.0,Hufflepuff
502.0,Hufflepuff
503.0,Hufflepuff
504.0,Gryffindor
505.0,Gryffindor
506.0,Slytherin
507.0,Ravenclaw
508.0,Hufflepuff
509.0,Hufflepuff
510.0,Ravenclaw
511.0,Hufflepuff
512.0,Gryffindor
513.0,Hufflepuff
514.0,Hufflepuff
515.0,Ravenclaw
516.0,Ravenclaw
517.0,Gryffindor
518.0,Ravenclaw
519.0,Gryffindor
520.0,Hufflepuff
521.0,Gryffindor
522.0,Slytherin
523.0,Gryffindor
524.0,Slytherin
525.0,Ravenclaw
526.0,Gryffindor
527.0,Gryffindor
528.0,Gryffindor
529.0,Gryffindor
530.0,Ravenclaw
531.0,Hufflepuff
532.0,Gryffindor
533.0,Ravenclaw
534.0,Ravenclaw
535.0,Hufflepuff
536.0,Gryffindor
537.0,Ravenclaw
538.0,Slytherin
539.0,Ravenclaw
540.0,Slytherin
541.0,Gryffindor
542.0,Ravenclaw
543.0,Ravenclaw
544.0,Ravenclaw
545.0,Ravenclaw
546.0,Gryffindor
547.0,Slytherin
548.0,Hufflepuff
549.0,Gryffindor
550.0,Hufflepuff
551.0,Slytherin
552.0,Gryffindor
553.0,Hufflepuff
554.0,Hufflepuff
555.0,Hufflepuff
556.0,Gryffindor
557.0,Hufflepuff
558.0,Hufflepuff
559.0,Ravenclaw
560.0,Slytherin
561.0,Ravenclaw
562.0,Ravenclaw
563.0,Gryffindor
564.0,Hufflepuff
565.0,Hufflepuff
566.0,Hufflepuff
567.0,Ravenclaw
568.0,Ravenclaw
569.0,Hufflepuff
570.0,Hufflepuff
571.0,Hufflepuff
572.0,Ravenclaw
573.0,Ravenclaw
574.0,Hufflepuff
575.0,Gryffindor
576.0,Hufflepuff
577.0,Hufflepuff
578.0,Gryffindor
579.0,Slytherin
580.0,Gryffindor
581.0,Gryffindor
582.0,Hufflepuff
583.0,Gryffindor
584.0,Ravenclaw
585.0,Hufflepuff
586.0,Ravenclaw
587.0,Slytherin
588.0,Slytherin
589.0,Ravenclaw
590.0,Ravenclaw
591.0,Slytherin
592.0,Slytherin
593.0,Hufflepuff
594.0,Ravenclaw
595.0,Ravenclaw
596.0,Hufflepuff
597.0,Gryffindor
598.0,Ravenclaw
599.0,Slytherin
600.0,Ravenclaw
601.0,Ravenclaw
602.0,Slytherin
603.0,Gryffindor
604.0,Ravenclaw
605.0,Ravenclaw
606.0,Ravenclaw
607.0,Ravenclaw
608.0,Slytherin
609.0,Hufflepuff
610.0,Ravenclaw
611.0,Ravenclaw
612.0,Slytherin
613.0,Hufflepuff
614.0,Gryffindor
615.0,Gryffindor
616.0,Ravenclaw
617.0,Ravenclaw
618.0,Ravenclaw
619.0,Hufflepuff
620.0,Slytherin
621.0,Slytherin
622.0,Gryffindor
623.0,Hufflepuff
624.0,Gryffindor
625.0,Gryffindor
626.0,Hufflepuff
627.0,Hufflepuff
628.0,Gryffindor
629.0,Hufflepuff
630.0,Gryffindor
631.0,Ravenclaw
632.0,Ravenclaw
633.0,Hufflepuff
634.0,Ravenclaw
635.0,Ravenclaw
636.0,Ravenclaw
637.0,Slytherin
638.0,Ravenclaw
639.0,Hufflepuff
640.0,Hufflepuff
641.0,Slytherin
642.0,Slytherin
643.0,Ravenclaw
644.0,Hufflepuff
645.0,Slytherin
646.0,Hufflepuff
647.0,Hufflepuff
648.0,Hufflepuff
649.0,Slytherin
650.0,Slytherin
651.0,Slytherin
652.0,Hufflepuff
653.0,Slytherin
654.0,Ravenclaw
655.0,Hufflepuff
656.0,Ravenclaw
657.0,Gryffindor
658.0,Gryffindor
659.0,Hufflepuff
660.0,Slytherin
661.0,Hufflepuff
662.0,Slytherin
663.0,Ravenclaw
664.0,Ravenclaw
665.0,Hufflepuff
666.0,Slytherin
667.0,Hufflepuff
668.0,Hufflepuff
669.0,Hufflepuff
670.0,Gryffindor
671.0,Gryffindor
672.0,Slytherin
673.0,Ravenclaw
674.0,Hufflepuff
675.0,Ravenclaw
676.0,Hufflepuff
677.0,Gryffindor
678.0,Ravenclaw
679.0,Hufflepuff
680.0,Slytherin
681.0,Slytherin
682.0,Ravenclaw
683.0,Hufflepuff
684.0,Ravenclaw
685.0,Slytherin
686.0,Slytherin
687.0,Hufflepuff
688.0,Ravenclaw
689.0,Ravenclaw
690.0,Ravenclaw
691.0,Ravenclaw
692.0,Ravenclaw
693.0,Slytherin
694.0,Ravenclaw
695.0,Gryffindor
696.0,Ravenclaw
697.0,Ravenclaw
698.0,Ravenclaw
699.0,Gryffindor
700.0,Hufflepuff
701.0,Hufflepuff
702.0,Ravenclaw
703.0,Ravenclaw
704.0,Ravenclaw
705.0,Hufflepuff
706.0,Hufflepuff
707.0,Slytherin
708.0,Gryffindor
709.0,Gryffindor
710.0,Ravenclaw
711.0,Ravenclaw
712.0,Gryffindor
713.0,Ravenclaw
714.0,Slytherin
715.0,Slytherin
716.0,Hufflepuff
717.0,Hufflepuff
718.0,Ravenclaw
719.0,Gryffindor
720.0,Gryffindor
721.0,Ravenclaw
722.0,Slytherin
723.0,Hufflepuff
724.0,Slytherin
725.0,Hufflepuff
726.0,Slytherin
727.0,Ravenclaw
728.0,Gryffindor
729.0,Ravenclaw
730.0,Ravenclaw
731.0,Ravenclaw
732.0,Slytherin
733.0,Hufflepuff
734.0,Slytherin
735.0,Gryffindor
736.0,Gryffindor
737.0,Slytherin
738.0,Hufflepuff
739.0,Gryffindor
740.0,Hufflepuff
741.0,Hufflepuff
742.0,Hufflepuff
743.0,Ravenclaw
744.0,Gryffindor
745.0,Ravenclaw
746.0,Ravenclaw
747.0,Slytherin
748.0,Hufflepuff
749.0,Ravenclaw
750.0,Hufflepuff
751.0,Ravenclaw
752.0,Hufflepuff
753.0,Hufflepuff
754.0,Gryffindor
755.0,Gryffindor
756.0,Hufflepuff
757.0,Ravenclaw
758.0,Hufflepuff
759.0,Gryffindor
760.0,Hufflepuff
761.0,Slytherin
762.0,Ravenclaw
763.0,Hufflepuff
764.0,Hufflepuff
765.0,Hufflepuff
766.0,Gryffindor
767.0,Slytherin
768.0,Hufflepuff
769.0,Slytherin
770.0,Ravenclaw
771.0,Gryffindor
772.0,Ravenclaw
773.0,Hufflepuff
774.0,Gryffindor
775.0,Gryffindor
776.0,Slytherin
777.0,Hufflepuff
778.0,Slytherin
779.0,Ravenclaw
780.0,Slytherin
781.0,Ravenclaw
782.0,Ravenclaw
783.0,Slytherin
784.0,Hufflepuff
785.0,Hufflepuff
786.0,Ravenclaw
787.0,Slytherin
788.0,Ravenclaw
789.0,Gryffindor
790.0,Ravenclaw
791.0,Hufflepuff
792.0,Gryffindor
793.0,Hufflepuff
794.0,Ravenclaw
795.0,Gryffindor
796.0,Gryffindor
797.0,Ravenclaw
798.0,Ravenclaw
799.0,Ravenclaw
800.0,Slytherin
801.0,Hufflepuff
802.0,Ravenclaw
803.0,Ravenclaw
804.0,Ravenclaw
805.0,Gryffindor
806.0,Slytherin
807.0,Hufflepuff
808.0,Gryffindor
809.0,Ravenclaw
810.0,Slytherin
811.0,Hufflepuff
812.0,Slytherin
813.0,Hufflepuff
814.0,Slytherin
815.0,Ravenclaw
816.0,Slytherin
817.0,Ravenclaw
818.0,Ravenclaw
819.0,Ravenclaw
820.0,Hufflepuff
821.0,Hufflepuff
822.0,Slytherin
823.0,Ravenclaw
824.0,Hufflepuff
825.0,Ravenclaw
826.0,Hufflepuff
827.0,Ravenclaw
828.0,Ravenclaw
829.0,Slytherin
830.0,Gryffindor
831.0,Ravenclaw
832.0,Ravenclaw
833.0,Hufflepuff
834.0,Hufflepuff
835.0,Gryffindor
836.0,Hufflepuff
837.0,Ravenclaw
838.0,Ravenclaw
839.0,Gryffindor
840.0,Hufflepuff
841.0,Gryffindor
842.0,Slytherin
843.0,Gryffindor
844.0,Hufflepuff
845.0,Gryffindor
846.0,Hufflepuff
847.0,Slytherin
848.0,Hufflepuff
849.0,Hufflepuff
850.0,Ravenclaw
851.0,Slytherin
852.0,Ravenclaw
853.0,Hufflepuff
854.0,Slytherin
855.0,Slytherin
856.0,Slytherin
857.0,Slytherin
858.0,Ravenclaw
859.0,Gryffindor
860.0,Gryffindor
861.0,Ravenclaw
862.0,Gryffindor
863.0,Hufflepuff
864.0,Hufflepuff
865.0,Gryffindor
866.0,Slytherin
867.0,Hufflepuff
868.0,Gryffindor
869.0,Gryffindor
870.0,Slytherin
871.0,Slytherin
872.0,Hufflepuff
873.0,Slytherin
874.0,Hufflepuff
875.0,Hufflepuff
876.0,Hufflepuff
877.0,Ravenclaw
878.0,Ravenclaw
879.0,Gryffindor
880.0,Gryffindor
881.0,Slytherin
882.0,Hufflepuff
883.0,Slytherin
884.0,Gryffindor
885.0,Gryffindor
886.0,Slytherin
887.0,Slytherin
888.0,Slytherin
889.0,Slytherin
890.0,Slytherin
891.0,Gryffindor
892.0,Hufflepuff
893.0,Slytherin
894.0,Gryffindor
895.0,Slytherin
896.0,Ravenclaw
897.0,Slytherin
898.0,Hufflepuff
899.0,Hufflepuff
900.0,Gryffindor
901.0,Ravenclaw
902.0,Hufflepuff
903.0,Hufflepuff
904.0,Slytherin
905.0,Slytherin
906.0,Hufflepuff
907.0,Slytherin
908.0,Gryffindor
909.0,Hufflepuff
910.0,Ravenclaw
911.0,Hufflepuff
912.0,Gryffindor
913.0,Ravenclaw
914.0,Ravenclaw
915.0,Hufflepuff
916.0,Hufflepuff
917.0,Ravenclaw
918.0,Gryffindor
919.0,Hufflepuff
920.0,Gryffindor
921.0,Gryffindor
922.0,Slytherin
923.0,Ravenclaw
924.0,Hufflepuff
925.0,Ravenclaw
926.0,Gryffindor
927.0,Ravenclaw
928.0,Hufflepuff
929.0,Gryffindor
930.0,Slytherin
931.0,Slytherin
932.0,Hufflepuff
933.0,Gryffindor
934.0,Ravenclaw
935.0,Slytherin
936.0,Hufflepuff
937.0,Hufflepuff
938.0,Ravenclaw
939.0,Ravenclaw
940.0,Gryffindor
941.0,Slytherin
942.0,Gryffindor
943.0,Ravenclaw
944.0,Hufflepuff
945.0,Gryffindor
946.0,Hufflepuff
947.0,Hufflepuff
948.0,Gryffindor
949.0,Hufflepuff
950.0,Hufflepuff
951.0,Gryffindor
952.0,Slytherin
953.0,Hufflepuff
954.0,Hufflepuff
955.0,Slytherin
956.0,Gryffindor
957.0,Hufflepuff
958.0,Hufflepuff
959.0,Hufflepuff
960.0,Hufflepuff
961.0,Ravenclaw
962.0,Gryffindor
963.0,Ravenclaw
964.0,Hufflepuff
965.0,Hufflepuff
966.0,Hufflepuff
967.0,Hufflepuff
968.0,Gryffindor
969.0,Hufflepuff
970.0,Hufflepuff
971.0,Slytherin
972.0,Ravenclaw
973.0,Ravenclaw
974.0,Gryffindor
975.0,Gryffindor
976.0,Slytherin
977.0,Hufflepuff
978.0,Gryffindor
979.0,Ravenclaw
980.0,Ravenclaw
981.0,Gryffindor
982.0,Ravenclaw
983.0,Ravenclaw
984.0,Hufflepuff
985.0,Slytherin
986.0,Ravenclaw
987.0,Gryffindor
988.0,Ravenclaw
989.0,Ravenclaw
990.0,Slytherin
991.0,Hufflepuff
992.0,Ravenclaw
993.0,Hufflepuff
994.0,Ravenclaw
995.0,Slytherin
996.0,Gryffindor
997.0,Hufflepuff
998.0,Hufflepuff
999.0,Hufflepuff
1000.0,Ravenclaw
1001.0,Ravenclaw
1002.0,Ravenclaw
1003.0,Ravenclaw
1004.0,Slytherin
1005.0,Gryffindor
1006.0,Hufflepuff
1007.0,Ravenclaw
1008.0,Gryffindor
1009.0,Ravenclaw
1010.0,Hufflepuff
1011.0,Slytherin
1012.0,Hufflepuff
1013.0,Gryffindor
1014.0,Gryffindor
1015.0,Ravenclaw
1016.0,Hufflepuff
1017.0,Hufflepuff
1018.0,Ravenclaw
1019.0,Gryffindor
1020.0,Ravenclaw
1021.0,Slytherin
1022.0,Ravenclaw
1023.0,Gryffindor
1024.0,Ravenclaw
1025.0,Hufflepuff
1026.0,Ravenclaw
1027.0,Hufflepuff
1028.0,Ravenclaw
1029.0,Hufflepuff
1030.0,Slytherin
1031.0,Hufflepuff
1032.0,Ravenclaw
1033.0,Ravenclaw
1034.0,Slytherin
1035.0,Gryffindor
1036.0,Ravenclaw
1037.0,Slytherin
1038.0,Hufflepuff
1039.0,Gryffindor
1040.0,Ravenclaw
1041.0,Slytherin
1042.0,Gryffindor
1043.0,Ravenclaw
1044.0,Ravenclaw
1045.0,Gryffindor
1046.0,Hufflepuff
1047.0,Ravenclaw
1048.0,Ravenclaw
1049.0,Ravenclaw
1050.0,Slytherin
1051.0,Gryffindor
1052.0,Hufflepuff
1053.0,Slytherin
1054.0,Ravenclaw
1055.0,Gryffindor
1056.0,Ravenclaw
1057.0,Ravenclaw
1058.0,Gryffindor
1059.0,Ravenclaw
1060.0,Ravenclaw
1061.0,Gryffindor
1062.0,Gryffindor
1063.0,Slytherin
1064.0,Ravenclaw
1065.0,Hufflepuff
1066.0,Hufflepuff
1067.0,Gryffindor
1068.0,Hufflepuff
1069.0,Ravenclaw
1070.0,Hufflepuff
1071.0,Slytherin
1072.0,Hufflepuff
1073.0,Hufflepuff
1074.0,Slytherin
1075.0,Slytherin
1076.0,Ravenclaw
1077.0,Hufflepuff
1078.0,Hufflepuff
1079.0,Slytherin
1080.0,Ravenclaw
1081.0,Slytherin
1082.0,Slytherin
1083.0,Hufflepuff
1084.0,Gryffindor
1085.0,Gryffindor
1086.0,Hufflepuff
1087.0,Gryffindor
1088.0,Gryffindor
1089.0,Hufflepuff
1090.0,Ravenclaw
1091.0,Hufflepuff
1092.0,Hufflepuff
1093.0,Hufflepuff
1094.0,Hufflepuff
1095.0,Hufflepuff
1096.0,Ravenclaw
1097.0,Slytherin
1098.0,Gryffindor
1099.0,Hufflepuff
1100.0,Slytherin
1101.0,Gryffindor
1102.0,Ravenclaw
1103.0,Ravenclaw
1104.0,Ravenclaw
1105.0,Hufflepuff
1106.0,Hufflepuff
1107.0,Hufflepuff
1108.0,Ravenclaw
1109.0,Hufflepuff
1110.0,Hufflepuff
1111.0,Slytherin
1112.0,Hufflepuff
1113.0,Gryffindor
1114.0,Hufflepuff
1115.0,Hufflepuff
1116.0,Hufflepuff
1117.0,Hufflepuff
1118.0,Slytherin
1119.0,Ravenclaw
1120.0,Gryffindor
1121.0,Ravenclaw
1122.0,Slytherin
1123.0,Slytherin
1124.0,Gryffindor
1125.0,Gryffindor
1126.0,Slytherin
1127.0,Gryffindor
1128.0,Slytherin
1129.0,Hufflepuff
1130.0,Slytherin
1131.0,Hufflepuff
1132.0,Hufflepuff
1133.0,Slytherin
1134.0,Gryffindor
1135.0,Gryffindor
1136.0,Ravenclaw
1137.0,Ravenclaw
1138.0,Ravenclaw
1139.0,Slytherin
1140.0,Hufflepuff
1141.0,Gryffindor
1142.0,Slytherin
1143.0,Hufflepuff
1144.0,Ravenclaw
1145.0,Slytherin
1146.0,Gryffindor
1147.0,Gryffindor
1148.0,Hufflepuff
1149.0,Slytherin
1150.0,Slytherin
1151.0,Slytherin
1152.0,Ravenclaw
1153.0,Gryffindor
1154.0,Gryffindor
1155.0,Gryffindor
1156.0,Ravenclaw
1157.0,Hufflepuff
1158.0,Slytherin
1159.0,Gryffindor
1160.0,Hufflepuff
1161.0,Slytherin
1162.0,Gryffindor
1163.0,Hufflepuff
1164.0,Ravenclaw
1165.0,Hufflepuff
1166.0,Ravenclaw
1167.0,Ravenclaw
1168.0,Gryffindor
1169.0,Hufflepuff
1170.0,Ravenclaw
1171.0,Hufflepuff
1172.0,Hufflepuff
1173.0,Hufflepuff
1174.0,Ravenclaw
1175.0,Ravenclaw
1176.0,Hufflepuff
1177.0,Gryffindor
1178.0,Hufflepuff
1179.0,Slytherin
1180.0,Slytherin
1181.0,Ravenclaw
1182.0,Hufflepuff
1183.0,Slytherin
1184.0,Hufflepuff
1185.0,Ravenclaw
1186.0,Gryffindor
1187.0,Gryffindor
1188.0,Hufflepuff
1189.0,Ravenclaw
1190.0,Slytherin
1191.0,Gryffindor
1192.0,Ravenclaw
1193.0,Gryffindor
1194.0,Ravenclaw
1195.0,Gryffindor
1196.0,Ravenclaw
1197.0,Ravenclaw
1198.0,Hufflepuff
1199.0,Ravenclaw
1200.0,Slytherin
1201.0,Hufflepuff
1202.0,Hufflepuff
1203.0,Ravenclaw
1204.0,Ravenclaw
1205.0,Hufflepuff
